28609;Adalyn;Variant of Adela.;Female;French;597
28610;Adam;&quot,Of the red earth.&quot,;Male;Hebrew;1000000
28611;Adam;From the red earth. In the biblical Genesis account man was created from the red earth of Eden.;Male;Hebrew;1000000
28612;Adam;Of the red earth;Male;English;1000000
28613;Adama;Ibo of Nigeria female name meaning &quot,beautiful child&quot, or &quot,queenly.&quot,;Female;African;30000
28614;Adamina;Feminine form of Adam, &quot,of the red earth.&quot,Some variants are Adamine, Adaminna, Addie, Mina, and Minna.;Female;Hebrew;623
28615;Adamnan;Little Adam;Male;Irish;45
28616;Adamnan;name of an abbot;Male;Anglo;45
28617;Adamnan;Name of an abbot;Male;Anglo-Saxon;45
28618;Adamson;Son of Adam;Male;English;35000
28619;Adamson;Son of Adam;Male;Hebrew;35000
28620;Adan;Little fire;Female;Irish;42000
28621;Adan;Variation of Adam From the red earth.;Male;Spanish;42000
28622;Adan;Yoruba of Nigeria name meaning &quot,a large bat.&quot,Also, the Spanish equivalent of Adam.;Male;African;42000
28623;Adana;Spanish feminine of Adam.;Female;Spanish;306000
28624;Adanech;Amharic and Tigrinya of Ethiopia female name meaning &quot,she has rescued them.&quot,;Female;African;87
28625;Adanna;Ibo of Nigeria female name meaning &quot,father's daughter.&quot,;Female;African;2000
28626;Adar;Fire;Female;Hebrew;20000
28627;Adar;Noble;Male;Hebrew;20000
28628;Adara;&quot,Beauty.&quot,Also an Arabic name meaning &quot,virgin,&quot, and a Hebrew name meaning &quot,fire.&quot, Variants, Adar and Adra, exist.;Female;Greek;4000
28629;Adara;&quot,Fire.&quot,Also an Greek name meaning &quot,beauty,&quot, and a Arabic name meaning &quot,virgin.&quot, Variants, Adar and Adra, exist.;Female;Hebrew;4000
28630;Adara;&quot,Virgin.&quot,Also an Greek name meaning &quot,beauty,&quot, and a Hebrew name meaning &quot,fire.&quot, Variants, Adar and Adra, exist.;Female;Arabic;4000
28631;Adara;Fire;Female;Hebrew;4000
28632;Adara;From the ford at the oak tree;Female;Irish;4000
28633;Adara;Virgin;Female;Arabic;4000
28634;Adare;From the ford of the oak tree;Male;Irish;2000
28635;Adda;Wealthy;Female;English;14000
28636;Addam;Variation of Adam . From the red earth.;Male;Hebrew;2000
28637;Addaneye;Lives on the noble's island;Male;English;2
28638;Addergoole;From between two fords;Male;Irish;9
28639;Addie;Variant of Adela.;Female;French;16000
28640;Addilynn;;Female;Unknown;15
28641;Addis;Son of Adam;Male;English;39000
28642;Addisen;child of Adam;Male;Unknown;72
28643;Addisen;Strong woman. Variant of Addison.;Female;Unknown;72
28644;Addison;Son of Adam.;Male;English;50000
28645;Addney;Lives on the noble's island;Male;English;68
28646;Addo;Ghana name meaning &quot,king of the road.&quot,;Male;African;9000
28647;Addula;&quot,Noble cheer.&quot, ADELA, ADEL, ADELINE, ADELINA, ADALINE, ADALINA, ADELICIA, ADALIA, ADALIE, ADAL;Female;Teutonic;87
28648;Addy;Ardent;Male;English;20000
28649;Addyson;Awesome;Female;English;647
28650;Ade;&quot,Royal one.&quot,;Male;African;144000
28651;Ade;a mistress of Lancelot;Female;Arthurian;144000
28652;Ade;A mistress of Lancelot;Female;Arthurian Legend;144000
28653;Adeben;born twelfth;Male;Egyptian;62
28654;Adeela;similar, equal;Female;Arabic;1000
28655;Adeen;Little fire;Female;Irish;616
28656;Adel;just;Male;Arabic;149000
28657;Adel;Noble;Male;German;149000
28658;Adela;Good humor;Female;French;42000
28659;Adela;Pleasant: Of the nobility. Noble.;Female;German;42000
28660;Adelaide;&quot,Noble.&quot,Some variants are Ada, Adela, Adele, and Adeline.;Female;German;217000
28661;Adelaide;Of the nobility. Noble.;Female;French;217000
28662;Adelaide;Sweet or noble;Female;German;217000
28663;Adelajda;Polish form of Adelaide (noble) ALBINKA;Female;Polish;212
28664;Adelbert;bright, noble;Male;Hungarian;2000
28665;Adelbert;Intelligent or noble;Male;German;2000
28666;Adele;&quot,Nobility.&quot,Also French name meaning &quot,pleasant, good humor.&quot,Variants include Adele (with accent), Adelia, Adella and Adelle.;Female;German;55000
28667;Adele;&quot,Pleasant, good humor.&quot, Also Old German name meaning &quot,nobility.&quot,Variants include Adele (with accent), Adelia, Adella and Adelle.;Female;French;55000
28668;Adele;Good humor: Of the nobility. Noble.;Female;French;55000
28669;Adele;Pleasant;Female;German;55000
28670;Adelhard;Resolute;Male;German;137
28671;Adelheid;Sweet or noble;Female;German;2000
28672;Adelheide;Sweet or noble;Female;German;43
28673;Adelia;Of the nobility. Noble.;Female;French;25000
28674;Adelina;Noble or kind or winged;Female;Spanish;47000
28675;Adelina;noble, kind;Female;Spanish;47000
28676;Adelina;Of the nobility. Noble. Variant of Adela.;Female;French;47000
28677;Adelina;Sweet or noble;Female;German;47000
28678;Adelinda;&quot,Noble, sweet.&quot,A compound name consisting of Adele, &quot,nobility,&quot, and Linda, &quot,pretty.&quot,;Female;Teutonic;326
28679;Adelinda;Sweet or noble;Female;German;326
28680;Adeline;&quot,Woman of noble estate.&quot, Some variants and diminutives are Adaline, Adelind, Adella, Addi, Addy, Aline, Dahlina, Daline, Delina, Delly, Delyne, Edelie, and Lina.;Female;German;29000
28681;Adeline;Sweet: of the nobility. Noble.;Female;German;29000
28682;Adeline;Variant of Adela.;Female;French;29000
28683;Adelisa;Of the nobility. Noble.;Female;French;649
28684;Adelisa;Of the nobility. Noble.;Female;German;649
28685;Adelise;Forerunner of Alice Of the nobility. Noble.;Female;French;145
28686;Adelita;Kind or winged: Of the nobility. Noble.;Female;Spanish;3000
28687;Adelita;Sweet or noble;Female;German;3000
28688;Adella;Of the nobility. Noble.;Female;Spanish;5000
28689;Adelle;Of the nobility. Noble.;Female;French;6000
28690;Adelle;Sweet or noble;Female;German;6000
28691;Adelpha;&quot,Dear sister.&quot,Variants include Adelphe and Adelphie.;Female;Greek;96
28692;Adelynn;Variant of Adela.;Female;French;316
28693;Adelyte;Has good humor;Female;German;36
28694;Adem;earth;Male;Turkish;395000
